dox,days,repeats,unique_id,rel_height
Induced,0,104,S-22-107_RPE1_481_30.fsa,0.06258890469416785
Induced,0,105,S-22-107_RPE1_481_30.fsa,0.05832147937411095
Induced,0,106,S-22-107_RPE1_481_30.fsa,0.07539118065433854
Induced,0,107,S-22-107_RPE1_481_30.fsa,0.08392603129445235
Induced,0,108,S-22-107_RPE1_481_30.fsa,0.07823613086770982
Induced,0,109,S-22-107_RPE1_481_30.fsa,0.09388335704125178
Induced,0,110,S-22-107_RPE1_481_30.fsa,0.12802275960170698
Induced,0,111,S-22-107_RPE1_481_30.fsa,0.1891891891891892
Induced,0,112,S-22-107_RPE1_481_30.fsa,0.31436699857752487
Induced,0,113,S-22-107_RPE1_481_30.fsa,0.5120910384068279
Induced,0,114,S-22-107_RPE1_481_30.fsa,0.7837837837837838
Induced,0,115,S-22-107_RPE1_481_30.fsa,0.972972972972973
Induced,0,116,S-22-107_RPE1_481_30.fsa,1
Induced,0,117,S-22-107_RPE1_481_30.fsa,0.9018492176386913
Induced,0,118,S-22-107_RPE1_481_30.fsa,0.6002844950213371
Induced,0,119,S-22-107_RPE1_481_30.fsa,0.3669985775248933
Induced,0,120,S-22-107_RPE1_481_30.fsa,0.1891891891891892
Induced,0,121,S-22-107_RPE1_481_30.fsa,0.10526315789473684
Induced,0,122,S-22-107_RPE1_481_30.fsa,0.05832147937411095
Induced,0,123,S-22-107_RPE1_481_30.fsa,0.04267425320056899
Induced,0,124,NA,0
Induced,28,104,S-22-173_CAG1Hu3.fsa,0.145985401459854
Induced,28,105,S-22-173_CAG1Hu3.fsa,0.20437956204379562
Induced,28,106,S-22-173_CAG1Hu3.fsa,0.19343065693430658
Induced,28,107,S-22-173_CAG1Hu3.fsa,0.18613138686131386
Induced,28,108,S-22-173_CAG1Hu3.fsa,0.18613138686131386
Induced,28,109,S-22-173_CAG1Hu3.fsa,0.17883211678832117
Induced,28,110,S-22-173_CAG1Hu3.fsa,0.22992700729927007
Induced,28,111,S-22-173_CAG1Hu3.fsa,0.26277372262773724
Induced,28,112,S-22-173_CAG1Hu3.fsa,0.3175182481751825
Induced,28,113,S-22-173_CAG1Hu3.fsa,0.4489051094890511
Induced,28,114,S-22-173_CAG1Hu3.fsa,0.6131386861313869
Induced,28,115,S-22-173_CAG1Hu3.fsa,0.8029197080291971
Induced,28,116,S-22-173_CAG1Hu3.fsa,0.9379562043795621
Induced,28,117,S-22-173_CAG1Hu3.fsa,1
Induced,28,118,S-22-173_CAG1Hu3.fsa,0.8795620437956204
Induced,28,119,S-22-173_CAG1Hu3.fsa,0.781021897810219
Induced,28,120,S-22-173_CAG1Hu3.fsa,0.5364963503649635
Induced,28,121,S-22-173_CAG1Hu3.fsa,0.4124087591240876
Induced,28,122,S-22-173_CAG1Hu3.fsa,0.27007299270072993
Induced,28,123,S-22-173_CAG1Hu3.fsa,0.20072992700729927
Induced,28,124,S-22-173_CAG1Hu3.fsa,0.14963503649635038
Non-induced,0,104,S-22-107_RPE1_481_30.fsa,0.06258890469416785
Non-induced,0,105,S-22-107_RPE1_481_30.fsa,0.05832147937411095
Non-induced,0,106,S-22-107_RPE1_481_30.fsa,0.07539118065433854
Non-induced,0,107,S-22-107_RPE1_481_30.fsa,0.08392603129445235
Non-induced,0,108,S-22-107_RPE1_481_30.fsa,0.07823613086770982
Non-induced,0,109,S-22-107_RPE1_481_30.fsa,0.09388335704125178
Non-induced,0,110,S-22-107_RPE1_481_30.fsa,0.12802275960170698
Non-induced,0,111,S-22-107_RPE1_481_30.fsa,0.1891891891891892
Non-induced,0,112,S-22-107_RPE1_481_30.fsa,0.31436699857752487
Non-induced,0,113,S-22-107_RPE1_481_30.fsa,0.5120910384068279
Non-induced,0,114,S-22-107_RPE1_481_30.fsa,0.7837837837837838
Non-induced,0,115,S-22-107_RPE1_481_30.fsa,0.972972972972973
Non-induced,0,116,S-22-107_RPE1_481_30.fsa,1
Non-induced,0,117,S-22-107_RPE1_481_30.fsa,0.9018492176386913
Non-induced,0,118,S-22-107_RPE1_481_30.fsa,0.6002844950213371
Non-induced,0,119,S-22-107_RPE1_481_30.fsa,0.3669985775248933
Non-induced,0,120,S-22-107_RPE1_481_30.fsa,0.1891891891891892
Non-induced,0,121,S-22-107_RPE1_481_30.fsa,0.10526315789473684
Non-induced,0,122,S-22-107_RPE1_481_30.fsa,0.05832147937411095
Non-induced,0,123,S-22-107_RPE1_481_30.fsa,0.04267425320056899
Non-induced,0,124,NA,0
Non-induced,0,125,NA,0
Non-induced,0,126,NA,0
Non-induced,0,127,NA,0
Non-induced,0,128,NA,0
Non-induced,0,129,NA,0
Non-induced,28,104,S-22-247_CAG1Hu3.fsa,0.14925373134328357
Non-induced,28,105,S-22-247_CAG1Hu3.fsa,0.1253731343283582
Non-induced,28,106,S-22-247_CAG1Hu3.fsa,0.14029850746268657
Non-induced,28,107,S-22-247_CAG1Hu3.fsa,0.13134328358208955
Non-induced,28,108,S-22-247_CAG1Hu3.fsa,0.18208955223880596
Non-induced,28,109,S-22-247_CAG1Hu3.fsa,0.1791044776119403
Non-induced,28,110,S-22-247_CAG1Hu3.fsa,0.208955223880597
Non-induced,28,111,S-22-247_CAG1Hu3.fsa,0.1880597014925373
Non-induced,28,112,S-22-247_CAG1Hu3.fsa,0.2746268656716418
Non-induced,28,113,S-22-247_CAG1Hu3.fsa,0.2955223880597015
Non-induced,28,114,S-22-247_CAG1Hu3.fsa,0.3582089552238806
Non-induced,28,115,S-22-247_CAG1Hu3.fsa,0.4925373134328358
Non-induced,28,116,S-22-247_CAG1Hu3.fsa,0.5432835820895522
Non-induced,28,117,S-22-247_CAG1Hu3.fsa,0.6626865671641791
Non-induced,28,118,S-22-247_CAG1Hu3.fsa,0.808955223880597
Non-induced,28,119,S-22-247_CAG1Hu3.fsa,0.9402985074626866
Non-induced,28,120,S-22-247_CAG1Hu3.fsa,1
Non-induced,28,121,S-22-247_CAG1Hu3.fsa,0.9850746268656716
Non-induced,28,122,S-22-247_CAG1Hu3.fsa,0.9552238805970149
Non-induced,28,123,S-22-247_CAG1Hu3.fsa,0.7940298507462686
Non-induced,28,124,S-22-247_CAG1Hu3.fsa,0.6656716417910448
Non-induced,28,125,S-22-247_CAG1Hu3.fsa,0.4955223880597015
Non-induced,28,126,S-22-247_CAG1Hu3.fsa,0.41194029850746267
Non-induced,28,127,S-22-247_CAG1Hu3.fsa,0.3194029850746269
Non-induced,28,128,S-22-247_CAG1Hu3.fsa,0.26865671641791045
Non-induced,28,129,S-22-247_CAG1Hu3.fsa,0.1880597014925373
