Well,Time,Region,Total_Masses,drug_conc
A2,20,14,10,100 nM Bran.
A2,20,15,8,100 nM Bran.
A2,20,68,11,100 nM Bran.
A2,20,7,5,100 nM Bran.
A2,20,27,3,100 nM Bran.
A2,20,76,6,100 nM Bran.
A2,20,73,4,100 nM Bran.
A2,20,80,3,100 nM Bran.
A2,20,8,6,100 nM Bran.
A2,20,3,7,100 nM Bran.
A2,20,17,1,100 nM Bran.
A2,20,62,5,100 nM Bran.
A2,20,28,5,100 nM Bran.
A2,20,6,5,100 nM Bran.
A2,20,36,5,100 nM Bran.
A2,20,35,3,100 nM Bran.
A2,20,41,25,100 nM Bran.
A2,20,48,3,100 nM Bran.
A2,20,59,5,100 nM Bran.
A2,20,16,7,100 nM Bran.
A2,20,31,8,100 nM Bran.
A2,20,77,1,100 nM Bran.
A2,20,26,4,100 nM Bran.
A2,20,32,5,100 nM Bran.
A2,20,40,6,100 nM Bran.
A2,20,74,6,100 nM Bran.
A2,20,60,4,100 nM Bran.
A2,20,1,3,100 nM Bran.
A2,20,53,7,100 nM Bran.
A2,20,4,2,100 nM Bran.
A2,20,24,8,100 nM Bran.
A2,20,25,7,100 nM Bran.
A2,20,38,5,100 nM Bran.
A2,20,63,6,100 nM Bran.
A2,20,9,4,100 nM Bran.
A2,20,10,6,100 nM Bran.
A2,20,11,6,100 nM Bran.
A2,20,54,6,100 nM Bran.
A2,20,64,5,100 nM Bran.
A2,20,50,9,100 nM Bran.
A2,20,34,7,100 nM Bran.
A2,20,55,9,100 nM Bran.
A2,20,21,3,100 nM Bran.
A2,20,56,3,100 nM Bran.
A2,20,79,3,100 nM Bran.
A2,20,19,7,100 nM Bran.
A2,20,18,5,100 nM Bran.
A2,20,65,4,100 nM Bran.
A2,20,66,1,100 nM Bran.
A2,20,75,6,100 nM Bran.
A2,20,71,9,100 nM Bran.
A2,20,30,8,100 nM Bran.
A2,20,67,4,100 nM Bran.
A2,20,5,3,100 nM Bran.
A2,20,37,3,100 nM Bran.
A2,20,69,3,100 nM Bran.
A2,20,61,5,100 nM Bran.
A2,20,81,2,100 nM Bran.
A2,20,20,8,100 nM Bran.
A2,20,70,5,100 nM Bran.
A2,20,12,7,100 nM Bran.
A2,20,33,10,100 nM Bran.
A2,20,49,9,100 nM Bran.
A2,20,52,0,100 nM Bran.
A2,20,39,10,100 nM Bran.
A2,20,72,2,100 nM Bran.
A2,20,42,7,100 nM Bran.
A2,20,2,3,100 nM Bran.
A2,20,78,4,100 nM Bran.
A2,20,29,8,100 nM Bran.
A2,20,57,1,100 nM Bran.
A2,20,13,4,100 nM Bran.
A2,20,43,9,100 nM Bran.
A2,20,44,5,100 nM Bran.
A2,20,45,4,100 nM Bran.
A2,20,46,5,100 nM Bran.
A2,20,51,3,100 nM Bran.
A2,20,58,5,100 nM Bran.
A2,20,47,5,100 nM Bran.
A2,20,22,5,100 nM Bran.
A2,20,23,5,100 nM Bran.
A1,20,40,4,DMSO
A1,20,44,1,DMSO
A1,20,4,2,DMSO
A1,20,27,0,DMSO
A1,20,22,2,DMSO
A1,20,55,3,DMSO
A1,20,56,2,DMSO
A1,20,21,1,DMSO
A1,20,18,1,DMSO
A1,20,1,2,DMSO
A1,20,49,1,DMSO
A1,20,52,3,DMSO
A1,20,80,1,DMSO
A1,20,31,5,DMSO
A1,20,32,2,DMSO
A1,20,47,3,DMSO
A1,20,39,2,DMSO
A1,20,77,9,DMSO
A1,20,57,5,DMSO
A1,20,28,6,DMSO
A1,20,19,5,DMSO
A1,20,26,1,DMSO
A1,20,63,3,DMSO
A1,20,74,3,DMSO
A1,20,5,4,DMSO
A1,20,33,11,DMSO
A1,20,35,0,DMSO
A1,20,41,7,DMSO
A1,20,8,4,DMSO
A1,20,51,7,DMSO
A1,20,68,1,DMSO
A1,20,67,5,DMSO
A1,20,79,0,DMSO
A1,20,48,3,DMSO
A1,20,58,4,DMSO
A1,20,2,3,DMSO
A1,20,50,1,DMSO
A1,20,11,2,DMSO
A1,20,60,1,DMSO
A1,20,3,3,DMSO
A1,20,6,1,DMSO
A1,20,78,3,DMSO
A1,20,54,4,DMSO
A1,20,38,2,DMSO
A1,20,53,0,DMSO
A1,20,16,6,DMSO
A1,20,34,6,DMSO
A1,20,81,4,DMSO
A1,20,9,2,DMSO
A1,20,72,8,DMSO
A1,20,61,6,DMSO
A1,20,62,9,DMSO
A1,20,65,3,DMSO
A1,20,14,2,DMSO
A1,20,69,12,DMSO
A1,20,20,2,DMSO
A1,20,37,4,DMSO
A1,20,10,5,DMSO
A1,20,12,6,DMSO
A1,20,30,5,DMSO
A1,20,25,6,DMSO
A1,20,7,1,DMSO
A1,20,17,1,DMSO
A1,20,59,2,DMSO
A1,20,71,3,DMSO
A1,20,64,1,DMSO
A1,20,73,4,DMSO
A1,20,23,1,DMSO
A1,20,15,4,DMSO
A1,20,75,1,DMSO
A1,20,29,3,DMSO
A1,20,45,3,DMSO
A1,20,13,2,DMSO
A1,20,42,2,DMSO
A1,20,70,1,DMSO
A1,20,36,2,DMSO
A1,20,46,4,DMSO
A1,20,24,2,DMSO
A1,20,43,1,DMSO
A1,20,76,1,DMSO
A1,20,66,1,DMSO
B2,20,53,22,500 nM Ris
B2,20,35,27,500 nM Ris
B2,20,15,13,500 nM Ris
B2,20,40,34,500 nM Ris
B2,20,47,18,500 nM Ris
B2,20,49,16,500 nM Ris
B2,20,67,10,500 nM Ris
B2,20,22,15,500 nM Ris
B2,20,57,24,500 nM Ris
B2,20,43,10,500 nM Ris
B2,20,14,24,500 nM Ris
B2,20,48,26,500 nM Ris
B2,20,36,16,500 nM Ris
B2,20,51,26,500 nM Ris
B2,20,17,24,500 nM Ris
B2,20,1,21,500 nM Ris
B2,20,65,25,500 nM Ris
B2,20,28,25,500 nM Ris
B2,20,23,31,500 nM Ris
B2,20,61,16,500 nM Ris
B2,20,71,19,500 nM Ris
B2,20,72,10,500 nM Ris
B2,20,42,20,500 nM Ris
B2,20,70,15,500 nM Ris
B2,20,64,3,500 nM Ris
B2,20,78,16,500 nM Ris
B2,20,18,11,500 nM Ris
B2,20,63,21,500 nM Ris
B2,20,58,35,500 nM Ris
B2,20,3,15,500 nM Ris
B2,20,52,14,500 nM Ris
B2,20,68,20,500 nM Ris
B2,20,10,19,500 nM Ris
B2,20,66,28,500 nM Ris
B2,20,80,13,500 nM Ris
B2,20,2,17,500 nM Ris
B2,20,7,17,500 nM Ris
B2,20,37,21,500 nM Ris
B2,20,41,291,500 nM Ris
B2,20,74,36,500 nM Ris
B2,20,62,21,500 nM Ris
B2,20,50,15,500 nM Ris
B2,20,13,17,500 nM Ris
B2,20,27,14,500 nM Ris
B2,20,39,11,500 nM Ris
B2,20,79,12,500 nM Ris
B2,20,81,928,500 nM Ris
B2,20,6,17,500 nM Ris
B2,20,54,20,500 nM Ris
B2,20,56,21,500 nM Ris
B2,20,5,12,500 nM Ris
B2,20,9,1438,500 nM Ris
B2,20,26,19,500 nM Ris
B2,20,69,19,500 nM Ris
B2,20,77,19,500 nM Ris
B2,20,30,17,500 nM Ris
B2,20,32,20,500 nM Ris
B2,20,45,26,500 nM Ris
B2,20,55,20,500 nM Ris
B2,20,33,11,500 nM Ris
B2,20,8,16,500 nM Ris
B2,20,31,15,500 nM Ris
B2,20,75,18,500 nM Ris
B2,20,76,18,500 nM Ris
B2,20,38,28,500 nM Ris
B2,20,25,13,500 nM Ris
B2,20,16,10,500 nM Ris
B2,20,44,11,500 nM Ris
B2,20,21,25,500 nM Ris
B2,20,73,19,500 nM Ris
B2,20,11,16,500 nM Ris
B2,20,4,12,500 nM Ris
B2,20,19,19,500 nM Ris
B2,20,20,22,500 nM Ris
B2,20,59,14,500 nM Ris
B2,20,12,19,500 nM Ris
B2,20,46,26,500 nM Ris
B2,20,24,12,500 nM Ris
B2,20,60,21,500 nM Ris
B2,20,34,12,500 nM Ris
B2,20,29,24,500 nM Ris
A3,20,23,9,200 nM Bran.
A3,20,66,11,200 nM Bran.
A3,20,42,18,200 nM Bran.
A3,20,34,16,200 nM Bran.
A3,20,26,4,200 nM Bran.
A3,20,35,13,200 nM Bran.
A3,20,57,10,200 nM Bran.
A3,20,77,9,200 nM Bran.
A3,20,38,14,200 nM Bran.
A3,20,5,8,200 nM Bran.
A3,20,46,13,200 nM Bran.
A3,20,49,21,200 nM Bran.
A3,20,1,12,200 nM Bran.
A3,20,37,9,200 nM Bran.
A3,20,33,13,200 nM Bran.
A3,20,24,9,200 nM Bran.
A3,20,51,21,200 nM Bran.
A3,20,61,4,200 nM Bran.
A3,20,72,15,200 nM Bran.
A3,20,74,17,200 nM Bran.
A3,20,6,11,200 nM Bran.
A3,20,39,9,200 nM Bran.
A3,20,68,9,200 nM Bran.
A3,20,28,15,200 nM Bran.
A3,20,30,4,200 nM Bran.
A3,20,59,7,200 nM Bran.
A3,20,9,8,200 nM Bran.
A3,20,15,10,200 nM Bran.
A3,20,18,15,200 nM Bran.
A3,20,67,8,200 nM Bran.
A3,20,10,6,200 nM Bran.
A3,20,40,18,200 nM Bran.
A3,20,44,6,200 nM Bran.
A3,20,8,11,200 nM Bran.
A3,20,12,12,200 nM Bran.
A3,20,52,10,200 nM Bran.
A3,20,29,14,200 nM Bran.
A3,20,22,10,200 nM Bran.
A3,20,63,17,200 nM Bran.
A3,20,31,13,200 nM Bran.
A3,20,43,12,200 nM Bran.
A3,20,60,4,200 nM Bran.
A3,20,19,14,200 nM Bran.
A3,20,2,11,200 nM Bran.
A3,20,41,130,200 nM Bran.
A3,20,56,7,200 nM Bran.
A3,20,75,19,200 nM Bran.
A3,20,78,8,200 nM Bran.
A3,20,17,12,200 nM Bran.
A3,20,13,12,200 nM Bran.
A3,20,64,10,200 nM Bran.
A3,20,11,10,200 nM Bran.
A3,20,47,8,200 nM Bran.
A3,20,27,10,200 nM Bran.
A3,20,76,13,200 nM Bran.
A3,20,73,13,200 nM Bran.
A3,20,20,14,200 nM Bran.
A3,20,36,11,200 nM Bran.
A3,20,3,16,200 nM Bran.
A3,20,25,11,200 nM Bran.
A3,20,71,6,200 nM Bran.
A3,20,54,18,200 nM Bran.
A3,20,65,16,200 nM Bran.
A3,20,79,12,200 nM Bran.
A3,20,48,18,200 nM Bran.
A3,20,50,12,200 nM Bran.
A3,20,53,11,200 nM Bran.
A3,20,55,12,200 nM Bran.
A3,20,69,13,200 nM Bran.
A3,20,4,10,200 nM Bran.
A3,20,16,9,200 nM Bran.
A3,20,32,22,200 nM Bran.
A3,20,62,3,200 nM Bran.
A3,20,21,13,200 nM Bran.
A3,20,81,155,200 nM Bran.
A3,20,70,7,200 nM Bran.
A3,20,80,6,200 nM Bran.
A3,20,58,11,200 nM Bran.
A3,20,45,16,200 nM Bran.
A3,20,7,6,200 nM Bran.
A3,20,14,9,200 nM Bran.
B1,20,33,7,300 nM Bran.
B1,20,44,8,300 nM Bran.
B1,20,78,13,300 nM Bran.
B1,20,3,9,300 nM Bran.
B1,20,80,20,300 nM Bran.
B1,20,48,10,300 nM Bran.
B1,20,9,127,300 nM Bran.
B1,20,62,12,300 nM Bran.
B1,20,10,5,300 nM Bran.
B1,20,17,11,300 nM Bran.
B1,20,45,11,300 nM Bran.
B1,20,52,12,300 nM Bran.
B1,20,59,11,300 nM Bran.
B1,20,15,15,300 nM Bran.
B1,20,32,10,300 nM Bran.
B1,20,6,10,300 nM Bran.
B1,20,1,7,300 nM Bran.
B1,20,18,8,300 nM Bran.
B1,20,39,13,300 nM Bran.
B1,20,8,11,300 nM Bran.
B1,20,11,10,300 nM Bran.
B1,20,49,17,300 nM Bran.
B1,20,21,12,300 nM Bran.
B1,20,47,9,300 nM Bran.
B1,20,58,7,300 nM Bran.
B1,20,14,12,300 nM Bran.
B1,20,26,5,300 nM Bran.
B1,20,46,11,300 nM Bran.
B1,20,63,9,300 nM Bran.
B1,20,68,14,300 nM Bran.
B1,20,16,10,300 nM Bran.
B1,20,27,5,300 nM Bran.
B1,20,69,4,300 nM Bran.
B1,20,30,4,300 nM Bran.
B1,20,50,21,300 nM Bran.
B1,20,13,4,300 nM Bran.
B1,20,22,8,300 nM Bran.
B1,20,24,5,300 nM Bran.
B1,20,25,8,300 nM Bran.
B1,20,12,9,300 nM Bran.
B1,20,71,10,300 nM Bran.
B1,20,7,13,300 nM Bran.
B1,20,81,17,300 nM Bran.
B1,20,35,11,300 nM Bran.
B1,20,77,14,300 nM Bran.
B1,20,2,23,300 nM Bran.
B1,20,72,10,300 nM Bran.
B1,20,57,6,300 nM Bran.
B1,20,74,8,300 nM Bran.
B1,20,31,13,300 nM Bran.
B1,20,51,14,300 nM Bran.
B1,20,64,12,300 nM Bran.
B1,20,37,9,300 nM Bran.
B1,20,19,10,300 nM Bran.
B1,20,43,10,300 nM Bran.
B1,20,38,8,300 nM Bran.
B1,20,23,14,300 nM Bran.
B1,20,28,17,300 nM Bran.
B1,20,56,6,300 nM Bran.
B1,20,61,12,300 nM Bran.
B1,20,54,8,300 nM Bran.
B1,20,4,4,300 nM Bran.
B1,20,41,159,300 nM Bran.
B1,20,76,11,300 nM Bran.
B1,20,40,24,300 nM Bran.
B1,20,55,13,300 nM Bran.
B1,20,60,4,300 nM Bran.
B1,20,79,19,300 nM Bran.
B1,20,20,8,300 nM Bran.
B1,20,5,9,300 nM Bran.
B1,20,65,9,300 nM Bran.
B1,20,67,8,300 nM Bran.
B1,20,70,7,300 nM Bran.
B1,20,53,13,300 nM Bran.
B1,20,29,12,300 nM Bran.
B1,20,34,7,300 nM Bran.
B1,20,66,4,300 nM Bran.
B1,20,36,13,300 nM Bran.
B1,20,42,16,300 nM Bran.
B1,20,75,10,300 nM Bran.
B1,20,73,11,300 nM Bran.
